2021-11-21 18:12:58 [http-nio-8080-exec-7] INFO c.s.h.c.LoggerAspect - LoggerAspect : Before class com.sun.proxy.$Proxy76.getDongInGugun() 
2021-11-21 18:12:58 [http-nio-8080-exec-7] INFO c.s.h.c.LoggerAspect - LoggerAspect : After class com.sun.proxy.$Proxy76.getDongInGugun() 
2021-11-21 18:12:58 [http-nio-8080-exec-7] INFO c.s.h.c.LoggerAspect - LoggerAspect : After class com.ssafy.happyhouse.service.MapServiceImpl.getDongInGugun() 
2021-11-21 18:12:58 [http-nio-8080-exec-7] INFO c.s.h.c.LoggerAspect - LoggerAspect : After class com.ssafy.happyhouse.controller.MapController.dong() 
2021-11-21 18:12:59 [http-nio-8080-exec-8] INFO c.s.h.c.LoggerAspect - LoggerAspect : Before class com.ssafy.happyhouse.controller.MapController.apt() 
2021-11-21 18:12:59 [http-nio-8080-exec-8] INFO c.s.h.c.LoggerAspect - LoggerAspect : Before class com.ssafy.happyhouse.service.MapServiceImpl.getAptInDong() 
2021-11-21 18:12:59 [http-nio-8080-exec-8] INFO c.s.h.c.LoggerAspect - LoggerAspect : Before class com.sun.proxy.$Proxy76.getAptInDong() 
2021-11-21 18:12:59 [http-nio-8080-exec-8] INFO c.s.h.c.LoggerAspect - LoggerAspect : After class com.sun.proxy.$Proxy76.getAptInDong() 
2021-11-21 18:12:59 [http-nio-8080-exec-8] INFO c.s.h.c.LoggerAspect - LoggerAspect : Before class com.sun.proxy.$Proxy76.getAptInDong() 
2021-11-21 18:12:59 [http-nio-8080-exec-8] INFO c.s.h.c.LoggerAspect - LoggerAspect : After class com.sun.proxy.$Proxy76.getAptInDong() 
